Depth     DS        PS        IK        BK        PZ
2481.00   24.7101   91.7878   165.1212  5.6285    7.8203
2481.20   24.8132   92.9627   166.1609  5.5760    7.6955
2481.40   24.9300   92.2481   167.3215  5.7673    7.5560
2481.60   24.8891   92.9869   168.6998  5.6900    7.2696
2481.80   24.8268   94.5494   170.8275  5.3728    6.7507
2482.00   24.7743   95.2641   172.1091  5.2533    6.7678
2482.20   24.7335   95.4457   172.9795  5.2337    7.0102
2482.40   24.7023   94.9976   175.1798  4.9661    6.9318
2482.60   24.6848   94.9612   177.5978  5.2043    6.8339
2482.80   24.6809   95.3246   178.3715  4.7441    7.0934
2483.00   24.6770   95.1308   178.4199  4.8284    6.7874
2483.20   24.6732   94.7311   179.2420  4.8139    6.5084
2483.40   24.6770   94.4889   181.2247  5.0848    6.2710
2483.60   24.6829   95.7485   181.8292  5.5261    6.2367
2483.80   24.6829   96.0029   181.2005  4.7887    6.4447
2484.00   24.6848   96.0756   180.4509  4.7708    6.3713
2484.20   24.7043   95.9302   180.4509  5.0886    6.3542
2484.40   24.7354   95.8697   179.5321  4.9475    6.6136
2484.60   24.7568   96.3057   178.0572  4.7281    6.6528
2484.80   24.7471   96.2452   176.0986  4.8940    6.6381
2485.00   24.7432   95.5911   173.4873  5.3327    6.7556
2485.20   24.7588   94.6221   172.1332  5.3287    7.0273
2485.40   24.8210   93.9559   171.9156  5.1771    7.1766
2485.60   24.9300   93.7742   170.4648  5.2514    7.2231
2485.80   24.9553   94.1255   168.6998  5.4052    7.0811
2486.00   25.1284   94.4889   167.9018  5.2573    7.3455
2486.20   25.2257   94.5736   166.6929  5.1154    7.6563
2486.40   25.2062   94.7917   166.2818  5.3910    7.6319
2486.60   25.2198   94.9249   167.3215  5.8326    7.4434
2486.80   25.2588   95.0824   170.0296  5.5802    7.1570
2487.00   25.3171   94.7190   172.9312  5.2770    7.2476
2487.20   25.4008   94.7796   175.8569  5.0053    7.1325
2487.40   25.5078   95.4821   178.5891  4.7299    6.5524
2487.60   25.5272   95.0339   182.0710  4.5746    5.9528
2487.80   25.4358   94.8401   186.2298  4.1343    6.3787
2488.00   25.4475   96.6489   187.4229  3.8741    6.0926
2488.20   25.1176   97.0844   190.7123  3.8509    5.6529
2488.40   24.8323   97.5442   192.9375  3.6474    5.6138
2488.60   24.5975   97.2175   193.2761  3.7024    5.7555
2488.80   24.5704   95.8021   192.2603  3.6188    5.6626
2489.00   24.5917   93.7213   188.1969  3.8814    6.2611
2489.20   24.5490   88.2047   181.4972  4.5768    8.0322
2489.40   24.0619   78.8410   175.1844  5.8671    10.0085
2489.60   23.4137   63.3438   172.3062  11.9008   11.3057
2489.80   23.2856   52.6857   173.1044  10.6120   14.5181
2490.00   23.4253   46.3586   175.9826  10.4502   14.3447
2490.20   23.4603   46.8062   180.0943  9.7761    10.8440
2490.40   23.8174   54.4036   185.8266  8.4189    9.1951
2490.60   24.4656   61.7106   191.5105  6.3783    8.1031
2490.80   25.1002   75.6230   193.5180  4.4617    7.4460
2491.00   24.5374   79.6516   190.2286  4.4818    7.2481
2491.20   24.9449   77.0869   189.8174  5.0243    6.9940
2491.40   25.1157   78.8410   190.4704  4.2768    6.9183
2491.60   24.9643   79.2040   188.1485  4.1088    7.5950
2491.80   24.2598   70.1790   182.7549  4.7073    8.6332
2492.00   23.8969   62.5938   177.2645  6.2482    9.5957
2492.20   23.9493   59.5088   177.3612  8.3843    9.6861
2492.40   24.0386   59.8839   180.0218  6.4916    9.2879
2492.60   24.0716   62.5091   177.7724  5.0868    8.8237
2492.80   23.9571   64.8923   173.4188  5.0337    9.4833
2493.00   23.7184   57.7668   169.9359  6.1048    10.6413
2493.20   23.7184   52.6857   168.6540  9.1182    11.0224
2493.40   23.7882   54.9843   166.2837  6.7723    10.4996
2493.60   24.1240   60.1621   161.0594  5.0963    11.5060
2493.80   24.7237   65.4004   153.4648  5.7432    13.7608
2494.00   25.1758   71.1832   140.0169  10.8126   16.6459
2494.20   25.1933   73.3487   130.1487  22.8719   19.8754
2494.40   24.4073   70.6146   126.0128  24.6975   15.6932
2494.60   23.9260   68.9209   138.2271  10.9307   12.5907
2494.80   23.6427   70.6630   146.6925  6.8591    10.4116
2495.00   23.5728   71.0380   155.1820  7.7762    7.7562
2495.20   24.1744   76.3247   164.7841  6.8232    7.3116
2495.40   24.5296   81.8534   173.1769  5.0849    6.7937
2495.60   24.6946   86.3174   178.4980  4.2037    6.0779
2495.80   24.6868   89.4508   179.2720  3.8974    6.2587
2496.00   24.6072   91.8340   178.5222  4.2945    6.5787
2496.20   24.7023   93.1285   177.6757  4.2816    6.5005
2496.40   24.8032   93.3220   175.8133  4.4351    6.5861
