Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2458.20   3.8507    6.2071    12.8905   15.4952   122.6808  20.9686   10.3387   35.3193   31.8060   33.1272   4.8405    5.2782
2458.40   4.2313    6.9482    12.7446   16.0629   114.0569  21.2845   11.7119   31.1928   33.4311   42.0708   5.6036    5.4275
2458.60   4.9239    7.8690    12.9796   17.1688   102.3777  21.8189   14.9743   25.6013   34.9707   64.0525   6.2747    4.3245
2458.80   6.0781    9.2897    15.0278   18.7909   92.3740   21.8911   23.2338   21.8777   36.7180   73.4166   6.9311    4.4295
2459.00   7.8905    11.7912   21.3358   19.7075   84.0705   21.8930   34.6624   18.7401   38.6852   78.7234   7.7293    4.1435
2459.20   9.2485    12.5200   23.0798   25.0307   75.1509   21.6414   42.8977   16.3472   40.8847   77.2142   8.2312    4.1532
2459.40   10.4298   17.3704   33.6425   29.1349   71.6274   21.6726   53.6821   16.1787   43.6950   46.2271   8.2224    4.0517
2459.60   11.2033   24.2891   45.7885   47.3581   73.5986   21.7116   60.9702   14.4476   46.6642   30.0594   6.8127    4.3524
2459.80   11.6626   30.4444   64.4774   57.6186   78.6497   21.7097   46.0907   11.4907   49.3524   16.7961   5.4510    4.6379
2460.00   11.4145   35.6395   103.3395  63.1482   87.1258   21.3645   20.2083   9.5715    51.9673   14.7773   4.0208    5.0107
2460.20   9.6464    38.9388   126.2832  53.0474   95.8236   21.3508   8.3849    7.8818    53.0181   13.3399   3.3293    5.4500
2460.40   7.8905    38.6064   63.6240   16.5028   109.1043  21.5205   6.7128    6.5731    53.2747   12.4666   3.3620    5.8565
2460.60   6.5594    33.8545   50.0680   13.8314   129.6292  21.5771   6.6732    5.7649    53.9589   11.6576   3.3704    6.1796
2460.80   4.3983    28.6347   35.0402   13.1089   144.1666  21.4328   8.0474    5.3840    55.7307   10.7496   3.3458    5.5559
2461.00   3.1459    24.7076   27.7304   14.4458   156.3632  21.3821   9.4251    5.2838    57.5758   10.0717   3.1194    5.6940
2461.20   2.7014    21.7777   16.1064   16.0875   167.2046  21.6044   7.6298    5.4377    59.3964   9.3493    3.2290    6.0551
2461.40   2.4877    15.7085   12.7594   13.6495   172.1079  21.4211   5.6182    5.7673    61.8402   8.7927    3.2554    6.9815
2461.60   2.4239    13.8693   10.7112   10.5579   174.8676  21.3606   6.7752    6.0408    64.3939   8.3647    3.2665    6.4061
2461.80   2.5614    12.3009   9.9963    10.2851   176.6663  21.4737   8.2923    6.0286    67.3876   7.9317    3.1041    6.2709
2462.00   3.0206    10.6956   9.2740    11.7179   177.9968  21.6063   6.9197    5.9773    70.7234   7.4468    3.1343    6.4793
2462.20   3.4283    9.5310    8.2746    10.3637   178.5142  21.5498   6.0454    5.9138    74.5968   7.0881    3.0362    6.9829
2462.40   3.9023    8.6126    7.4038    8.1568    178.9824  21.6161   5.1446    5.9016    78.8245   6.8234    3.0916    7.5866
2462.60   4.4352    8.1300    6.6741    6.9010    179.2288  21.9320   5.0953    5.9309    82.0503   6.7120    3.0685    7.5691
2462.80   4.8944    7.7927    6.1843    6.2497    179.2041  21.9593   4.9467    5.9675    84.7141   6.6625    2.9460    7.9595
2463.00   5.3536    7.5662    5.8083    6.1416    178.9331  21.9652   4.8722    6.0066    87.1090   6.6526    2.9885    7.8697
2463.20   5.8890    7.3692    5.5213    5.9228    178.7606  21.9613   4.9540    6.1653    88.9418   6.6329    2.8400    8.0488
2463.40   6.4342    7.1796    5.2962    5.4289    178.9824  21.9574   4.9448    6.3313    90.1882   6.5487    2.9320    8.3280
2463.60   6.9253    7.0220    5.1676    5.1905    179.3766  21.9847   4.9065    6.4730    90.2370   6.3904    2.9969    8.5744
2463.80   7.2520    6.8472    5.1132    5.1683    180.3868  21.9983   4.8006    6.6585    90.0660   6.1702    2.9815    8.3572
2464.00   7.3330    6.7610    5.0860    5.2863    181.3232  22.0100   4.8416    6.8734    90.9580   6.3607    2.9433    8.4988
2464.20   7.1513    6.7167    5.0513    5.3650    182.4073  22.0334   4.8993    7.2104    91.8866   6.6081    2.6807    8.1113
2464.40   6.7780    6.6503    4.9994    5.3527    183.5654  22.0549   4.7353    7.5156    92.7175   6.6650    2.7473    8.3621
